Full Name,Profile URL,Headline,Comment,Timestamp,Comment URN,url
Raaj Prince,https://www.linkedin.com/in/rajcarpediem786,"$10B+Valuation | Founder & Chairman, AMANECT Group | Sovereign Trade-AI Infrastructure | Helping Governments Scrutinize | Govern Exporters, Embassies, Payments & Trade | Restoring Trade Sovereignty | Former MP Nominee",Stop copying Americans and have balls to be like Americans.,2025-11-06T14:34:20.604Z,"urn:li:comment:(ugcPost:7387824884497960961,7392207718226386944)",https://www.linkedin.com/posts/rishabhmariwala_work-passion-growth-activity-7387824988495474688-DDzG?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I
Shelly Sinha,https://www.linkedin.com/in/shelly-sinha-80506724,"Founder Bluencore , Ted X Speaker ( Ex National Head Business Development Parle Agro, Ex DGM Marketing Idea Cellular, Ex Business Group Head Mindshare ( Unilever Skin Care Brands & Coca Cola India ) MICA & IIMA Alumnus",Beautifully articulated,2025-10-30T17:32:56.560Z,"urn:li:comment:(ugcPost:7387824884497960961,7389715949144150018)",
Paneesh Rao,https://www.linkedin.com/in/paneesh-rao-38b08a1,Founder and Director at Rainmakers Workspace,"This flips the script beautifully. Passion isn’t always the starting point, it’s often the reward",2025-10-28T11:50:55.220Z,"urn:li:comment:(ugcPost:7387824884497960961,7388905100678848512)",
Dr. Venugopal Gandham,https://www.linkedin.com/in/venugopalgandham,"Director of IT @ Teleperformance | ITIL V4, PRINCE2 Agile, Scrum Master, Govt of India Awardee, SAARC Awardee","Interesting perspective, Rishabh! I agree that actively creating value and witnessing the impact of our work can be a powerful catalyst for developing passion. It's a great reminder that passion isn't always a pre-existing condition, but something that can be cultivated through engagement and meaningful contribution.",2025-10-28T07:43:04.012Z,"urn:li:comment:(ugcPost:7387824884497960961,7388842726307319808)",
Rahul Sharma,https://www.linkedin.com/in/rahul-sharma-9519baa4,IIM Ahmedabad Alumni | Founder at Qurbat - Chain of Retail Stores | Building Successful Retail Ventures,"Well said. Passion isn’t discovered, it’s developed. It follows progress, purpose, and the satisfaction of creating something valuable.",2025-10-27T08:35:08.421Z,"urn:li:comment:(ugcPost:7387824884497960961,7388493443162914816)",
Shiv Kumar Pandey,https://www.linkedin.com/in/shivpandey,"HR Services Marketing Expert | Founder & CEO, Niumatrix Digital","Absolutely — passion isn’t found, it’s built through momentum and meaningful impact.",2025-10-27T08:29:28.254Z,"urn:li:comment:(ugcPost:7387824884497960961,7388492016399151105)",
Vaani Chugh,https://www.linkedin.com/in/vaanichugh,Co-Founder & Director @D’chica Essentials | Entrepreneur | Public Speaker | Guest Faculty,"Absolutely — passion isn’t always the starting point, it’s the reward. Progress fuels purpose, and consistency turns curiosity into genuine passion. Rishabh Mariwala",2025-10-27T06:10:18.767Z,"urn:li:comment:(ugcPost:7387824884497960961,7388456996112351232)",
Anooshka Soham Bathwal,https://www.linkedin.com/in/anooshkasohambathwal,Founder & CEO @Dhanvesttor | On a mission to make women finance-confident with Dhanvesttor,Passion grows when you see the impact of your work.,2025-10-27T05:41:12.017Z,"urn:li:comment:(ugcPost:7387824884497960961,7388449669716217856)",
Praveen K C Reddy,https://www.linkedin.com/in/praveen-k-c-reddy-1214a2a8,Founder @ KnowConnections (KC) | Building an AI-powered & gamified networking assistant | From cards to intelligent connections | 500+ users & growing,"Absolutely. Passion isn’t something you find—it’s something you build through consistency and small wins. The more progress you make, the more purpose you feel, and that’s where real passion begins to take root.
",2025-10-27T04:35:34.573Z,"urn:li:comment:(ugcPost:7387824884497960961,7388433154874937344)",
Gaurav Kawatra,https://www.linkedin.com/in/gaurav-kawatra,"Founder - Infinia Solar | Renewable Energy Consultant | Helping Corporates Save Energy Costs & Achieve Net Zero | Open Access Solar, Wind & Rooftop Solutions | Served 53+ Clients across 18+ States | 141+ PPAs",Absolutely right Mr.Mariwala. Passion grows stronger when we see our work create real impact and meaning.,2025-10-25T18:28:15.460Z,"urn:li:comment:(ugcPost:7387824884497960961,7387917930291916800)",
TTJ - The Turnaround Journal,,160 followers,Underrated Opinion 👏,2025-10-25T17:42:05.347Z,"urn:li:comment:(ugcPost:7387824884497960961,7387906311595667456)",
"Antaripa Bhattacharya, Ph.D.Ⓥ",https://www.linkedin.com/in/antaripab,On a Mission to Redefine Luxury with Sustainability & Veganism | Biologist Driving Global Impact | Strategic Leadership | Fitness Advocate | Inclusion Ally,💯…,2025-10-25T14:49:36.569Z,"urn:li:comment:(ugcPost:7387824884497960961,7387862905679114240)",
Palak Mehta,https://www.linkedin.com/in/palak-mehta-,"Founder, Ekatva Festival, Vegan India Conference",This is so true!,2025-10-25T14:01:36.577Z,"urn:li:comment:(ugcPost:7387824884497960961,7387850826112786432)",
Tarana Lalwani,https://www.linkedin.com/in/tarana,Founding Partner InnoVen Capital; ex-Seedfund; Gupshup; Morgan Stanley | Venture Debt; Venture Capital; Early Stage Investing | Aspiring Angel Investor,"Love the ending..reminds me of a quote By JFK - ""ask not what your country can do for you — ask what you can do for your country"".  Overall, what he said makes so much sense - practical advice for all not just the graduating class of Columbia, So glad my alma matar got him :)
",2025-10-25T13:48:23.015Z,"urn:li:comment:(ugcPost:7387824884497960961,7387847497672515585)",
Sravan K Appana,https://www.linkedin.com/in/sravone,Chief Executer @ iGo | Mobility technologies for the next 6 billion!,"Purpose.

Passion.

Progress.",2025-10-25T12:59:02.081Z,"urn:li:comment:(ugcPost:7387824884497960961,7387835078619426816)",
Akash Singhania,https://www.linkedin.com/in/akash-singhania-0a1b777,Senior Fund Manager,Interesting perspective!,2025-10-25T12:38:01.852Z,"urn:li:comment:(ugcPost:7387824884497960961,7387829792831795200)",
